quotes,authors
"Good, better, best. Never let it rest. 'Til your good is better and your better is best.",St. Jerome
It always seems impossible until it's done.,Nelson Mandela
Life is 10% what happens to you and 90% how you react to it.,Charles R. Swindoll
Start where you are. Use what you have. Do what you can.,Arthur Ashe
"When something is important enough, you do it even if the odds are not in your favor.",Elon Musk
With the new day comes new strength and new thoughts.,Eleanor Roosevelt
Ever tried. Ever failed. No matter. Try Again. Fail again. Fail better.,Samuel Beckett
Only I can change my life. No one can do it for me.,Carol Burnett
Don't watch the clock; do what it does. Keep going.,Sam Levenson
"If you can dream it, you can do it.",Walt Disney
"Aim for the moon. If you miss, you may hit a star.",W. Clement Stone
"If you don't design your own life plan, chances are you'll fall into someone else's plan. And guess what they have planned for you? Not much.",Jim Rohn
"If you want to succeed you should strike out on new paths, rather than travel the worn paths of accepted success.",John D. Rockefeller
I don't believe you have to be better than everybody else. I believe you have to be better than you ever thought you could be.,Ken Venturi
A good plan violently executed now is better than a perfect plan executed next week.,George S. Patton
"Problems are not stop signs, they are guidelines.",Robert H. Schuller
Knowing is not enough; we must apply. Willing is not enough; we must do.,Johann Wolfgang von Goethe
"Quality is not an act, it is a habit.",Aristotle
"Change your life today. Don't gamble on the future, act now, without delay.",Simone de Beauvoir
"In order to succeed, we must first believe that we can.",Nikos Kazantzakis
Be kind whenever possible. It is always possible.,Dalai Lama
"Where there is a will, there is a way. If there is a chance in a million that you can do something, anything, to keep what you want from ending, do it. Pry the door open or, if need be, wedge your foot in that door and keep it open.",Pauline Kael
"There is only one corner of the universe you can be certain of improving, and that's your own self.",Aldous Huxley
"Set your goals high, and don't stop till you get there.",Bo Jackson
"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.",Bradley Whitford
"If you fell down yesterday, stand up today.",H. G. Wells
Motivation is the art of getting people to do what you want them to do because they want to do it.,Dwight D. Eisenhower
"When you reach the end of your rope, tie a knot in it and hang on.",Franklin D. Roosevelt
Perseverance is not a long race; it is many short races one after the other.,Walter Elliot
"Opportunity does not knock, it presents itself when you beat down the door.",Kyle Chandler
Failure will never overtake me if my determination to succeed is strong enough.,Og Mandino
"Consult not your fears but your hopes and your dreams. Think not about your frustrations, but about your unfulfilled potential. Concern yourself not with what you tried and failed in, but with what it is still possible for you to do.",Pope John XXIII
"Look up at the stars and not down at your feet. Try to make sense of what you see, and wonder about what makes the universe exist. Be curious.",Stephen Hawking
"If you're going through hell, keep going.",Winston Churchill
The secret of getting ahead is getting started.,Mark Twain
No bird soars too high if he soars with his own wings.,William Blake
You will never win if you never begin.,Helen Rowland
The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.,Mark Caine
Well done is better than well said.,Benjamin Franklin
Every exit is an entry somewhere else.,Tom Stoppard
You simply have to put one foot in front of the other and keep going. Put blinders on and plow right ahead.,George Lucas
You just can't beat the person who never gives up.,Babe Ruth
"Either I will find a way, or I will make one.",Philip Sidney
"Decide what you want, decide what you are willing to exchange for it. Establish your priorities and go to work.",H. L. Hunt
"Without hard work, nothing grows but weeds.",Gordon B. Hinckley
It does not matter how slowly you go as long as you do not stop.,Confucius
"I learned that we can do anything, but we can't do everything... at least not at the same time. So think of your priorities not in terms of what activities you do, but when you do them. Timing is everything.",Dan Millman
"By failing to prepare, you are preparing to fail.",Benjamin Franklin
"The will to succeed is important, but what's more important is the will to prepare.",Bobby Knight
"You can never quit. Winners never quit, and quitters never win.",Ted Turner
Perseverance is failing 19 times and succeeding the 20th.,Julie Andrews
"I can, therefore I am.",Simone Weil
I am not afraid... I was born to do this.,Joan of Arc
"I really believe that everyone has a talent, ability, or skill that he can mine to support himself and to succeed in life.",Dean Koontz
"Be miserable. Or motivate yourself. Whatever has to be done, it's always your choice.",Wayne Dyer
"Keep your eyes on the stars, and your feet on the ground.",Theodore Roosevelt
"Even if you fall on your face, you're still moving forward.",Victor Kiam
"Leap, and the net will appear.",John Burroughs
Expect problems and eat them for breakfast.,Alfred A. Montapert
Act as if what you do makes a difference. It does.,William James
One way to keep momentum going is to have constantly greater goals.,Michael Korda
"You are not here merely to make a living. You are here in order to enable the world to live more amply, with greater vision, with a finer spirit of hope and achievement. You are here to enrich the world, and you impoverish yourself if you forget the errand.",Woodrow Wilson
Do the difficult things while they are easy and do the great things while they are small. A journey of a thousand miles must begin with a single step.,Lao Tzu
"The will to win, the desire to succeed, the urge to reach your full potential... these are the keys that will unlock the door to personal excellence.",Confucius
Follow your inner moonlight; don't hide the madness.,Allen Ginsberg
Never retreat. Never explain. Get it done and let them howl.,Benjamin Jowett
"Follow your dreams, work hard, practice and persevere. Make sure you eat a variety of foods, get plenty of exercise and maintain a healthy lifestyle.",Sasha Cohen
Setting goals is the first step in turning the invisible into the visible.,Tony Robbins
Go big or go home. Because it's true. What do you have to lose?,Eliza Dushku
Never complain and never explain.,Benjamin Disraeli
"Whatever you want in life, other people are going to want it too. Believe in yourself enough to accept the idea that you have an equal right to it.",Diane Sawyer
Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.,Helen Keller
"The ultimate aim of the ego is not to see something, but to be something.",Muhammad Iqbal
Go for it now. The future is promised to no one.,Wayne Dyer
Believe in yourself! Have faith in your abilities! Without a humble but reasonable confidence in your own powers you cannot be successful or happy.,Norman Vincent Peale
You are never too old to set another goal or to dream a new dream.,Les Brown
Step by step and the thing is done.,Charles Atlas
The hardships that I encountered in the past will help me succeed in the future.,Philip Emeagwali
There is no passion to be found playing small - in settling for a life that is less than the one you are capable of living.,Nelson Mandela
Accept the challenges so that you can feel the exhilaration of victory.,George S. Patton
The way to get started is to quit talking and begin doing.,Walt Disney
Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.,Thomas A. Edison
"If you think you can do it, you can.",John Burroughs
"Always do your best. What you plant now, you will harvest later.",Og Mandino
"Don't think, just do.",Horace
They can conquer who believe they can.,Virgil
Deserve your dream.,Octavio Paz
"No matter how many goals you have achieved, you must set your sights on a higher one.",Jessica Savitch
I attribute my success to this - I never gave or took any excuse.,Florence Nightingale
"Do not wait; the time will never be 'just right.' Start where you stand, and work with whatever tools you may have at your command, and better tools will be found as you go along.",George Herbert
I'd rather attempt to do something great and fail than to attempt to do nothing and succeed.,Robert H. Schuller
There is always room at the top.,Daniel Webster
"A creative man is motivated by the desire to achieve, not by the desire to beat others.",Ayn Rand
The people who influence you are the people who believe in you.,Henry Drummond
Either you run the day or the day runs you.,Jim Rohn
When you fail you learn from the mistakes you made and it motivates you to work even harder.,Natalie Gulbis
"To begin, begin.",William Wordsworth
What you get by achieving your goals is not as important as what you become by achieving your goals.,Zig Ziglar
"Never give up, for that is just the place and time that the tide will turn.",Harriet Beecher Stowe
You can't expect to hit the jackpot if you don't put a few nickels in the machine.,Flip Wilson
"The most effective way to do it, is to do it.",Amelia Earhart
Motivation will almost always beat mere talent.,Norman Ralph Augustine
Small deeds done are better than great deeds planned.,Peter Marshall
"If you want to conquer fear, don't sit home and think about it. Go out and get busy.",Dale Carnegie
Things do not happen. Things are made to happen.,John F. Kennedy
You can't cross the sea merely by standing and staring at the water.,Rabindranath Tagore
"Never, never, never give up.",Winston Churchill
Your talent is God's gift to you. What you do with it is your gift back to God.,Leo Buscaglia
I am not a has-been. I am a will be.,Lauren Bacall
Be gentle to all and stern with yourself.,Saint Teresa of Avila
Do not wait to strike till the iron is hot; but make it hot by striking.,William Butler Yeats
"The key is to keep company only with people who uplift you, whose presence calls forth your best.",Epictetus
"Set your sights high, the higher the better. Expect the most wonderful things to happen, not in the future but right now. Realize that nothing is too good. Allow absolutely nothing to hamper you or hold you up in any way.",Eileen Caddy
We may encounter many defeats but we must not be defeated.,Maya Angelou
"If you ask me what I came into this life to do, I will tell you: I came to live out loud.",Emile Zola
"Press forward. Do not stop, do not linger in your journey, but strive for the mark set before you.",George Whitefield
There's a way to do it better - find it.,Thomas A. Edison
Big shots are only little shots who keep shooting.,Christopher Morley
We make the world we live in and shape our own environment.,Orison Swett Marden
Always desire to learn something useful.,Sophocles
You can't build a reputation on what you are going to do.,Henry Ford
Do you want to know who you are? Don't ask. Act! Action will delineate and define you.,Thomas Jefferson
"Beginning today, treat everyone you meet as if they were going to be dead by midnight. Extend to them all the care, kindness and understanding you can muster, and do it with no thought of any reward. Your life will never be the same again.",Og Mandino
We should not give up and we should not allow the problem to defeat us.,A. P. J. Abdul Kalam
You create your opportunities by asking for them.,Shakti Gawain
What you do today can improve all your tomorrows.,Ralph Marston
It is very important to know who you are. To make decisions. To show who you are.,Malala Yousafzai
There is progress whether ye are going forward or backward! The thing is to move!,Edgar Cayce
"I think people who are creative are the luckiest people on earth. I know that there are no shortcuts, but you must keep your faith in something Greater than You, and keep doing what you love. Do what you love, and you will find the way to get it out to the world.",Judy Collins
One finds limits by pushing them.,Herbert A. Simon
Arriving at one goal is the starting point to another.,John Dewey
After a storm comes a calm.,Matthew Henry
A somebody was once a nobody who wanted to and did.,John Burroughs
There is nothing deep down inside us except what we have put there ourselves.,Richard Rorty
Wherever you are - be all there.,Jim Elliot
A will finds a way.,Orison Swett Marden
"If you don't ask, you don't get.",Stevie Wonder
"The more we do, the more we can do.",William Hazlitt
"If you don't like how things are, change it! You're not a tree.",Jim Rohn
"The harder the conflict, the more glorious the triumph.",Thomas Paine
It's always too early to quit.,Norman Vincent Peale
Hitch your wagon to a star.,Ralph Waldo Emerson
"I know where I'm going and I know the truth, and I don't have to be what you want me to be. I'm free to be what I want.",Muhammad Ali
"The weeds keep multiplying in our garden, which is our mind ruled by fear. Rip them out and call them by name.",Sylvia Browne
Be Impeccable With Your Word. Speak with integrity. Say only what you mean. Avoid using the word to speak against yourself or to gossip about others. Use the power of your word in the direction of truth and love.,Don Miguel Ruiz
You never know what motivates you.,Cicely Tyson
A goal is a dream with a deadline.,Napoleon Hill
We aim above the mark to hit the mark.,Ralph Waldo Emerson
He conquers who endures.,Persius
"Don't fight the problem, decide it.",George C. Marshall
Who seeks shall find.,Sophocles
Only the educated are free.,Epictetus
"Do your work with your whole heart, and you will succeed - there's so little competition.",Elbert Hubbard
Do the one thing you think you cannot do. Fail at it. Try again. Do better the second time. The only people who never tumble are those who never mount the high wire. This is your moment. Own it.,Oprah Winfrey
"We are taught you must blame your father, your sisters, your brothers, the school, the teachers - but never blame yourself. It's never your fault. But it's always your fault, because if you wanted to change you're the one who has got to change.",Katharine Hepburn
"Do something wonderful, people may imitate it.",Albert Schweitzer
"The more things you do, the more you can do.",Lucille Ball
To be a good loser is to learn how to win.,Carl Sandburg
Pursue one great decisive aim with force and determination.,Carl von Clausewitz
The wise does at once what the fool does at last.,Baltasar Gracian
Do not weep; do not wax indignant. Understand.,Baruch Spinoza
Either move or be moved.,Ezra Pound
Never give in and never give up.,Hubert H. Humphrey
You have to make it happen.,Denis Diderot
"In motivating people, you've got to engage their minds and their hearts. I motivate people, I hope, by example - and perhaps by excitement, by having productive ideas to make others feel involved.",Rupert Murdoch
The past cannot be changed. The future is yet in your power.,Unknown
"Crave for a thing, you will get it. Renounce the craving, the object will follow you by itself.",Swami Sivananda
True happiness involves the full use of one's power and talents.,John W. Gardner
"Learn from the past, set vivid, detailed goals for the future, and live in the only moment of time over which you have any control: now.",Denis Waitley
"If you've got a talent, protect it.",Jim Carrey
"Be thine own palace, or the world's thy jail.",John Donne
"March on. Do not tarry. To go forward is to move toward perfection. March on, and fear not the thorns, or the sharp stones on life's path.",Khalil Gibran
"I've found that luck is quite predictable. If you want more luck, take more chances. Be more active. Show up more often.",Brian Tracy
I've worked too hard and too long to let anything stand in the way of my goals. I will not let my teammates down and I will not let myself down.,Mia Hamm
"I know not age, nor weariness nor defeat.",Rose Kennedy
Determine never to be idle. No person will have occasion to complain of the want of time who never loses any. It is wonderful how much may be done if we are always doing.,Thomas Jefferson
Don't give up. Don't lose hope. Don't sell out.,Christopher Reeve
I come to win.,Leo Durocher
I was motivated to be different in part because I was different.,Donna Brazile
Do whatever you do intensely.,Robert Henri
Your heaviest artillery will be your will to live. Keep that big gun going.,Norman Cousins
Begin to be now what you will be hereafter.,William James
God always strives together with those who strive.,Aeschylus
You have to learn the rules of the game. And then you have to play better than anyone else.,Unknown
Know or listen to those who know.,Baltasar Gracian
You can't wait for inspiration. You have to go after it with a club.,Jack London
You must take action now that will move you towards your goals. Develop a sense of urgency in your life.,"H. Jackson Brown, Jr."
Poverty was the greatest motivating factor in my life.,Jimmy Dean
"The more man meditates upon good thoughts, the better will be his world and the world at large.",Confucius
Many are called but few get up.,Oliver Herford
"How do you know you're going to do something, untill you do it?",J. D. Salinger
One may miss the mark by aiming too high as too low.,Thomas Fuller
"Always continue the climb. It is possible for you to do whatever you choose, if you first get to know who you are and are willing to work with a power that is greater than ourselves to do it.",Ella Wheeler Wilcox
What is called genius is the abundance of life and health.,Henry David Thoreau
"To know oneself, one should assert oneself.",Albert Camus
Learning is the beginning of wealth. Learning is the beginning of health. Learning is the beginning of spirituality. Searching and learning is where the miracle process all begins.,Jim Rohn
"From my tribe I take nothing, I am the maker of my own fortune.",Tecumseh
"When one must, one can.",Charlotte Whitton
I've always tried to go a step past wherever people expected me to end up.,Beverly Sills
To be wholly devoted to some intellectual exercise is to have succeeded in life.,Robert Louis Stevenson
Get action. Seize the moment. Man was never intended to become an oyster.,Theodore Roosevelt
"Set yourself earnestly to see what you are made to do, and then set yourself earnestly to do it.",Phillips Brooks
The dog that trots about finds a bone.,Golda Meir
You need to overcome the tug of people against you as you reach for high goals.,George S. Patton
"The first question which the priest and the Levite asked was: 'If I stop to help this man, what will happen to me?' But... the good Samaritan reversed the question: 'If I do not stop to help this man, what will happen to him?'","Martin Luther King, Jr."
"The turning point was when I hit my 30th birthday. I thought, if really want to write, it's time to start. I picked up the book How to Write a Novel in 90 Days. The author said to just write three pages a day, and I figured, I can do this. I never got past Page 3 of that book.",James Rollins
Music - it's motivational and just makes you relax.,Taika Waititi
Success is the only motivational factor that a boy with character needs.,Woody Hayes
"Fear of failure, it's the greatest motivational tool. It drives me and drives me and drives me.",Jerry West
"The people that are feeding you the information on things that I like - love life, believe in yourself, be motivational, give your time to things and meditate - they're all older people who are well into their 50s and have had careers, and for me, at this point, I'm the young ambassador for this whole lifestyle of making your mentality a reality.",Mod Sun
"I like to put on hardcore when I have to clean my apartment, which I hate to do, but it's motivational. I like old heavy metal when I'm outside working on my car. Music has definite functions for me.",Peter Steele
"People say 'dream big,' that's kind of one of those motivational sayings, but I would dream hard, meaning I just wanted it so badly, I could feel it.",Jim Nantz
"One of the things that I did before I ran for president is I was a professional speaker. Not a motivational speaker - an inspirational speaker. Motivation comes from within. You have to be inspired. That's what I do. I inspire people, I inspire the public, I inspire my staff. I inspired the organizations I took over to want to succeed.",Herman Cain
I want to be motivational and inspirational for everybody: my big aim is more women on bicycles.,Marianne Vos
"Madam Walker was a master marketer. But her brilliance was in taking it to another level by training women, by traveling, by making very motivational speeches and by providing independent income for women who otherwise would have to be maids and sharecroppers.",A'Lelia Bundles
"Typically, if you reward something, you get more of it. You punish something, you get less of it. And our businesses have been built for the last 150 years very much on that kind of motivational scheme.",Daniel H. Pink
"My father is my true inspiration. He's a motivational speaker, so he does a fine job of guiding me.",Tridha Choudhury
"You hope to bring your 'A Game' to any game, and of course you do in a final. You hope to bring experience, fitness, communication skills, motivational skills.",Edwin van der Sar
"Church is definitely still present in my life. Every Sunday I'm tuned in and then throughout the week I read scriptures, I read motivational messages.",Robert Covington
"Choosing a system is no longer enough, coaches have to be psychologists and motivational leaders too.",Giorgio Chiellini
"I'm a motivational speaker, so I'm going to look at something in as much of a positive way as possible.",Harris Faulkner
I used to watch a lot of motivational films and videos to remain positive.,S. Sreesanth
I'm thrilled to continue my partnership with U by Kotex for Generation Know while helping to empower girls. I've always been a motivational resource for my younger sisters and hope I can positively impact and inspire other young girls too.,Khloe Kardashian
There is no stronger case for the motivational power of real science than the discoveries that come from the Hubble Space Telescope as it unravels the mysteries of the universe.,John M. Grunsfeld
"Throughout my career, the pounding in my heart, the fright, has been ever-present, but I never turned back. Fear can be a highly motivational part of the journey.",Nina Tassler
"I'm on the playstation, or else I go out and play football. I enjoy movies and sitcoms. I love reading motivational books too.",Shreyas Iyer
"One day, I got so disgusted that I sat down and wrote a list called 'Justin's list of things to do before he kicks the bucket.' I wrote it for myself and shortened it to 'Justin's Bucket List.' It was there on the wall, not as a story idea but as a motivational tool for myself, which actually ended up working pretty well.",Justin Zackham
Our subliminal mental processes operate outside awareness because they arise in these portions of our mind that are inaccessible to our conscious self; their inaccessibility is due to the architecture of the brain rather than because they have been subject to Freudian motivational forces like repression.,Leonard Mlodinow
The occasional motivational speech gig tends to pay better than the books and television.,Bettany Hughes
Marvin's Motivational Moments actually started as something that was actually therapeutic for me. I would sit up late at night after my wife passed trying to adjust to being alone.,Marvin Sapp
"Oh, I would love to be a motivational speaker. I have pulled myself out of a million potholes, and I can see the potholes ahead of me. That doesn't mean that I could always do that so perfectly for my own life. I totally fall in potholes.",Drew Barrymore
"I've always thought of acting as more of an exercise in empathy, which is not to be confused with sympathy. You're trying to get inside a certain emotional reality or motivational reality and try to figure out what that's about so you can represent it.",Edward Norton
Earl Nightingale has inspired more people toward success and fortune than any other motivational speaker on the planet.,Zig Ziglar
We need to accept that the commandments of God aren't just a long list of good ideas. They aren't 'life hacks' from an Internet blog or motivational quotes from a Pinterest board.,Dieter F. Uchtdorf
Stoking fears of a potential shutdown is a strong motivational tool to get members on board with legislation that they don't want to support. Both parties are guilty of this.,Mark Meadows
"You cannot compare Pep to any Brazilian coach. If you put all Brazilian coaches together, you would get Pep. One has motivational skills, another is tactically strong. But Pep has it all.",Douglas Costa
"Zidane transmits a very clear idea to the players. He doesn't need to give a 20 minute motivational talk, he doesn't need it. With his presence alone, he achieves what he wants - his personality is synonymous with success.",Toni Kroos
"I have never moved away from my mainstay - trying to address all the environmental issues that come to me. I consult with law firms in the U.S., Australia, the U.K., Italy, Greece, and India to begin to address environmental disasters. I do motivational speaking.",Erin Brockovich
"I started doing motivational tours. I've seen all kinds of people, from the CEOs to the lowest executive, opening up to their fears. We don't introspect as much as we should.",Anupam Kher
"Giving back, doing motivational speeches and stuff like that, that's always made me feel good. If you repeatedly go out there, and you are the change that you want to see, then that's what you are.",Keke Palmer
"I believe that any type of education can be great, but an education about ourselves can create something wonderful. I am a comedian, but people have called me a motivational speaker. I don't really consider myself that at all.",Andy Andrews
"I went to a motivational training course once, a course of self-discovery, and I found out after a week that my fear - it was not a fear of not being accepted - was a very violent fear of failure.",Emanuel Steward
"My dad is too cute. Every morning, he sends me one motivational quote. I have a folder full of all his quotes.",Alia Bhatt
Motivational talks are something I have been asked to do and i fancy taking a crack at it.,George Groves
"I'm a wrestler with nine toes. I'm a wrestler who has been through a lot of battles. I get to do a lot of motivational speaking, and people are blown away and say, 'You never quit. You keep coming back.'",Rulon Gardner
"I've a great family, two children to take care of. Then, of course, I do commentary for TV. I do speak about various women's issues around the world - like LGBT, motivational speeches. I have a lot on my plate right now. But eventually, yes, I would like to pass on the knowledge and something that I would like to do.",Martina Navratilova
"I'm able to do motivational speaking all over the world and do so many positive things with my life because of my journey and the battles I've fought. Without cancer, I would have never had some of these opportunities, and I wouldn't be the man I am today.",Daniel Jacobs
"I don't know what it's like to have a typical father figure. He's not the dad who's going to take me to the beach and go swimming, but he's such a motivational person.",Tiffany Trump
"Give Obama a script he has made his own, and he is the motivational speaker to end all speakers. Tony Robbins cloned with Honest Abe.",Tina Brown
"As long as I'm not selling out the people that ride or die with me, I'm glad I'm not an MC. I'm a motivational speaker. I'm not that rapper dude.",Young Jeezy
"After my ski jumping career finished, I went back to school to study law, and now I travel between five to 20 times a year doing after-dinner speaking, motivational talks, appearances, openings, TV and radio shows.",Eddie the Eagle
"My mum was massively important to everything I've done, and now her memory is a motivational tool for me.",Fran Kirby
I taught myself how to be a speaker on Google. I just Googled 'how to be a motivational speaker.',Lizzie Velasquez
Before I play matches I'm always switching myself on. That's why I have that walk-on music - Two Steps From Hell - they produce really good motivational gladiator-style music. As soon as that music comes on I'm switched on and I'm ready for a brawl!,Neil Robertson
"People always accuse me of being motivational in a way, like it was a bad thing, but that's just how I was raised. My mom raised me in a positive environment, with lots of love in my heart, and that reflects in my music.",Lenny Kravitz
"Ever since I was a kid, I knew I could play in the NFL because I had a knack for the game. But I can't play this game forever. When I'm finished, maybe I'll become a motivational speaker, maybe a preacher. But children need to know that life may be hard, but you can always overcome.",Ed Reed
I can't put this down. I'm reading it in Spanish but I am still having English lessons. It is a motivational book about basketball legend Michael Jordan. His determination was inspiring. It helps me focus and drives me on.,Bojan Krkic
"I'm going to write a book, continue acting, continue motivational speaking and just share with people who I am and what I've learned in my second chance of life and pass it on to people in their first chance of life.",J. R. Martinez
"The Village Voice gave me an outlet. They encouraged writers to publish idiosyncratic, intellectually ambitious journalism in voices that ranged from demonic to highfalutin. And they paid me well once the magazine was unionized. Getting paid is motivational.",Robert Christgau
"I like motivational books, because I like the go-getting American spirit - your destiny is in your own hands, life is what you make it, don't accept your limitations, jump before you're pushed, leap before you look.",Louise Mensch
"I want to build a legacy at the WWE, but I definitely want to continue to grow the Bella Empire. I want it to go beyond the ring. I would love to be a motivational speaker.",Nikki Bella
I listen to a lot of TED talks and motivational speakers.,Jordan Burroughs
I'm a motivational speaker.,Young Jeezy
One of the hidden benefits of me being a student manager at Kentucky was me having the responsibility of driving Rick Pitino to his motivational speaking engagements.,Frank Vogel
"Religious speech is extreme, emotional, and motivational. It is anti-literal, relying on metaphor, allusion, and other rhetorical devices, and it assumes knowledge within a community of believers.",Amy Waldman
"The Gunnar Challenge offers new workouts every day, a meal plan and daily 'verbal vitamins,' which are a motivational video or workout tip. The thing that really makes the program work is the forum, where Challengers can communicate with each other and with me.",Gunnar Peterson
"I have given motivational speeches at IIT and other well-known establishments. I want to appeal to the people, and therefore, I talk from the heart.",Sangram Singh
"I was perceived to be a first- to third-rounder. I kind of had a tough junior year and fell to the fifth round. At that time, it was motivational.",Ryan Howard
"I realized I love motivating and I love empowering and I love inspiring people. I did that as an athlete for 18 years, and I am able to do that as a motivational speaker now as well as doing work on television.",Dominique Dawes
"My first book was called, 'Mountain, Get Out of My Way,' where I did an autobiographical sketch, if you will, looking back at myself and looking back at things in my life, and juxtaposing them against things that are happening in other people's lives and trying to be motivational.",Montel Williams
"I told myself that I wanted to be a motivational speaker, I wanted to write a book, graduate college, have my own family, and have my own career.",Lizzie Velasquez
"The Duke family, those are my brothers, and it's something I'll always take with me. Coach K, he gives me a lot of motivational things and checks in on me and my family. He knows where my heart is.",Brandon Ingram
"Coy Wire played in the NFL for 9 years and is now a motivational speaker and has a book out called 'Change Your Mind.' He is an amazing person with such positive energy! When Kroy and I first met and started dating, there weren't a whole lot of people that supported us, but Coy always did.",Kim Zolciak-Biermann
"Sometimes I'll put on a Zig Ziglar tape: he's a motivational speaker who is really funny and really American. I know I should do the things he says, but I'm too cynical.",Laila Rouass
